name,link
Tim Finchem,https://www.worldgolfhalloffame.org/tim-finchem/
Marion Hollins,https://www.worldgolfhalloffame.org/marion-hollins/
Susie Maxwell Berning,https://www.worldgolfhalloffame.org/susie-maxwell-berning/
Tiger Woods,https://www.worldgolfhalloffame.org/tiger-woods/
Peggy Kirk Bell,https://www.worldgolfhalloffame.org/peggy-kirk-bell/
Retief Goosen,https://www.worldgolfhalloffame.org/retief-goosen/
Billy Payne,https://www.worldgolfhalloffame.org/billy-payne/
Jan Stephenson,https://www.worldgolfhalloffame.org/jan-stephenson/
Dennis Walters,https://www.worldgolfhalloffame.org/dennis-walters/
Henry Longhurst,https://www.worldgolfhalloffame.org/henry-longhurst/
Davis Love III,https://www.worldgolfhalloffame.org/davis-love-iii/
Meg Mallon,https://www.worldgolfhalloffame.org/meg-mallon/
Lorena Ochoa Reyes,https://www.worldgolfhalloffame.org/lorena-ochoa/
Ian Woosnam,https://www.worldgolfhalloffame.org/ian-woosnam/
Dame Laura Davies,https://www.worldgolfhalloffame.org/laura-davies/
David Graham,https://www.worldgolfhalloffame.org/david-graham/
Mark Oâ€™Meara,https://www.worldgolfhalloffame.org/mark-omeara/
A.W. Tillinghast,https://www.worldgolfhalloffame.org/a-w-tillinghast/
Fred Couples,https://www.worldgolfhalloffame.org/fred-couples/
Colin Montgomerie,https://www.worldgolfhalloffame.org/colin-montgomerie/
Willie Park Jr.,https://www.worldgolfhalloffame.org/willie-park-jr/
Ken Schofield,https://www.worldgolfhalloffame.org/ken-schofield/
Ken Venturi,https://www.worldgolfhalloffame.org/ken-venturi/
Peter Alliss,https://www.worldgolfhalloffame.org/peter-alliss/
Dan Jenkins,https://www.worldgolfhalloffame.org/dan-jenkins/
Sandy Lyle,https://www.worldgolfhalloffame.org/sandy-lyle/
Phil Mickelson,https://www.worldgolfhalloffame.org/phil-mickelson/
Hollis Stacy,https://www.worldgolfhalloffame.org/hollis-stacy/
George H.W. Bush,https://www.worldgolfhalloffame.org/george-h-w-bush/
Frank Chirkinian,https://www.worldgolfhalloffame.org/frank-chirkinian/
Ernie Els,https://www.worldgolfhalloffame.org/ernie-els/
Doug Ford,https://www.worldgolfhalloffame.org/doug-ford/
Jock Hutchison,https://www.worldgolfhalloffame.org/jock-hutchison/
Masashi ,https://www.worldgolfhalloffame.org/masashi-ozaki/
Dwight D. Eisenhower,https://www.worldgolfhalloffame.org/dwight-d-eisenhower/
Christy O'Connor,https://www.worldgolfhalloffame.org/christy-oconnor/
Jose Maria Olazabal,https://www.worldgolfhalloffame.org/jose-maria-olazabal/
Lanny Wadkins,https://www.worldgolfhalloffame.org/lanny-wadkins/
Sir Bob Charles,https://www.worldgolfhalloffame.org/sir-bob-charles/
Pete Dye,https://www.worldgolfhalloffame.org/pete-dye/
Denny Shute,https://www.worldgolfhalloffame.org/denny-shute/
Carol Semple Thompson,https://www.worldgolfhalloffame.org/carol-semple-thompson/
Herbert Warren Wind,https://www.worldgolfhalloffame.org/herbert-warren-wind/
Craig Wood,https://www.worldgolfhalloffame.org/craig-wood/
Joe Carr,https://www.worldgolfhalloffame.org/joe-carr/
Hubert Green,https://www.worldgolfhalloffame.org/hubert-green/
Charles Blair Macdonald,https://www.worldgolfhalloffame.org/charles-blair-macdonald/
Kel Nagle,https://www.worldgolfhalloffame.org/kel-nagle/
Se Ri Pak,https://www.worldgolfhalloffame.org/se-ri-pak/
Curtis Strange,https://www.worldgolfhalloffame.org/curtis-strange/
Mark McCormack,https://www.worldgolfhalloffame.org/mark-mccormack/
Larry Nelson,https://www.worldgolfhalloffame.org/larry-nelson/
Henry Picard,https://www.worldgolfhalloffame.org/henry-picard/
Vijay Singh,https://www.worldgolfhalloffame.org/vijay-singh/
Marilynn Smith,https://www.worldgolfhalloffame.org/marilynn-smith/
Bernard Darwin,https://www.worldgolfhalloffame.org/bernard-darwin/
Alister MacKenzie,https://www.worldgolfhalloffame.org/alister-mackenzie/
Ayako Okamoto,https://www.worldgolfhalloffame.org/ayako-okamoto/
Willie Park Sr.,https://www.worldgolfhalloffame.org/willie-park-sr/
Karrie Webb,https://www.worldgolfhalloffame.org/karrie-webb/
Isao Aoki,https://www.worldgolfhalloffame.org/isao-aoki/
Tom Kite,https://www.worldgolfhalloffame.org/tom-kite/
Charlie Sifford,https://www.worldgolfhalloffame.org/charlie-sifford/
Marlene Stewart Streit,https://www.worldgolfhalloffame.org/marlene-stewart-streit/
Leo Diegel,https://www.worldgolfhalloffame.org/leo-diegel/
Hisako ,https://www.worldgolfhalloffame.org/hisako-higuchi/
Nick Price,https://www.worldgolfhalloffame.org/nick-price/
Annika Sorenstam,https://www.worldgolfhalloffame.org/annika-sorenstam/
Tommy Bolt,https://www.worldgolfhalloffame.org/tommy-bolt/
Ben Crenshaw,https://www.worldgolfhalloffame.org/ben-crenshaw/
Marlene Bauer Hagge,https://www.worldgolfhalloffame.org/marlene-bauer-hagge/
Tony Jacklin,https://www.worldgolfhalloffame.org/tony-jacklin/
Bernhard Langer,https://www.worldgolfhalloffame.org/bernhard-langer/
Harvey Penick,https://www.worldgolfhalloffame.org/harvey-penick/
Judy Bell,https://www.worldgolfhalloffame.org/judy-bell/
Donna Caponi,https://www.worldgolfhalloffame.org/donna-caponi/
Greg Norman,https://www.worldgolfhalloffame.org/greg-norman/
Allan Robertson,https://www.worldgolfhalloffame.org/allan-robertson/
Karsten Solheim,https://www.worldgolfhalloffame.org/karsten-solheim/
Payne Stewart,https://www.worldgolfhalloffame.org/payne-stewart/
Deane Beman,https://www.worldgolfhalloffame.org/deane-beman/
Sir Michael Bonallack,https://www.worldgolfhalloffame.org/sir-michael-bonallack/
Jack Burke Jr.,https://www.worldgolfhalloffame.org/jack-burke-jr/
Neil Coles,https://www.worldgolfhalloffame.org/neil-coles/
Beth Daniel,https://www.worldgolfhalloffame.org/beth-daniel/
Juli Inkster,https://www.worldgolfhalloffame.org/juli-inkster/
John Jacobs,https://www.worldgolfhalloffame.org/john-jacobs/
Judy Rankin,https://www.worldgolfhalloffame.org/judy-rankin/
Amy Alcott,https://www.worldgolfhalloffame.org/amy-alcott/
Seve Ballesteros,https://www.worldgolfhalloffame.org/seve-ballesteros/
Lloyd Mangrum,https://www.worldgolfhalloffame.org/lloyd-mangrum/
Sir Nick Faldo,https://www.worldgolfhalloffame.org/sir-nick-faldo/
Betty Jameson,https://www.worldgolfhalloffame.org/betty-jameson/
Johnny Miller,https://www.worldgolfhalloffame.org/johnny-miller/
Betsy King,https://www.worldgolfhalloffame.org/betsy-king/
Dinah Shore,https://www.worldgolfhalloffame.org/dinah-shore/
Patty Sheehan,https://www.worldgolfhalloffame.org/patty-sheehan/
Harry Cooper,https://www.worldgolfhalloffame.org/harry-cooper/
Hale Irwin,https://www.worldgolfhalloffame.org/hale-irwin/
Chi Chi Rodriguez,https://www.worldgolfhalloffame.org/chi-chi-rodriguez/
Richard Tufts,https://www.worldgolfhalloffame.org/richard-tufts/
Pat Bradley,https://www.worldgolfhalloffame.org/pat-bradley/
William Campbell,https://www.worldgolfhalloffame.org/william-campbell/
Gene Littler,https://www.worldgolfhalloffame.org/gene-littler/
Paul Runyan,https://www.worldgolfhalloffame.org/paul-runyan/
Horton Smith,https://www.worldgolfhalloffame.org/horton-smith/
Jim Barnes,https://www.worldgolfhalloffame.org/jim-barnes/
Roberto De Vicenzo,https://www.worldgolfhalloffame.org/roberto-de-vicenzo/
Raymond Floyd,https://www.worldgolfhalloffame.org/ray-floyd/
Bob Harlow,https://www.worldgolfhalloffame.org/bob-harlow/
Peter Thomson,https://www.worldgolfhalloffame.org/peter-thomson/
Tom Watson,https://www.worldgolfhalloffame.org/tom-watson/
Robert Trent Jones Sr.,https://www.worldgolfhalloffame.org/robert-trent-jones-sr/
Nancy Lopez,https://www.worldgolfhalloffame.org/nancy-lopez/
Betsy Rawls,https://www.worldgolfhalloffame.org/betsy-rawls/
Cary Middlecoff,https://www.worldgolfhalloffame.org/cary-middlecoff/
Jimmy Demaret,https://www.worldgolfhalloffame.org/jimmy-demaret/
Bob Hope,https://www.worldgolfhalloffame.org/bob-hope/
Julius Boros,https://www.worldgolfhalloffame.org/julius-boros/
JoAnne Carner,https://www.worldgolfhalloffame.org/joanne-carner/
Kathy Whitworth,https://www.worldgolfhalloffame.org/kathy-whitworth/
Ralph Guldahl,https://www.worldgolfhalloffame.org/ralph-guldahl/
Lee Trevino,https://www.worldgolfhalloffame.org/lee-trevino/
Sir Henry Cotton,https://www.worldgolfhalloffame.org/sir-henry-cotton/
Lawson Little,https://www.worldgolfhalloffame.org/lawson-little/
Louise Suggs,https://www.worldgolfhalloffame.org/louise-suggs/
Walter Travis,https://www.worldgolfhalloffame.org/walter-travis/
Dorothy Campbell Hurd Howe,https://www.worldgolfhalloffame.org/dorothy-campbell-hurd-howe/
Billy Casper,https://www.worldgolfhalloffame.org/billy-casper/
Bing Crosby,https://www.worldgolfhalloffame.org/bing-crosby/
Harold Hilton,https://www.worldgolfhalloffame.org/harold-hilton/
Clifford Roberts,https://www.worldgolfhalloffame.org/clifford-roberts/
John Ball Jr.,https://www.worldgolfhalloffame.org/john-ball-jr/
Herb Graffis,https://www.worldgolfhalloffame.org/herb-graffis/
Sandra Haynie,https://www.worldgolfhalloffame.org/sandra-haynie/
Bobby Locke,https://www.worldgolfhalloffame.org/bobby-locke/
Carol Mann,https://www.worldgolfhalloffame.org/carol-mann/
Donald Ross,https://www.worldgolfhalloffame.org/donald-ross/
Tommy Armour,https://www.worldgolfhalloffame.org/tommy-armour/
James Braid,https://www.worldgolfhalloffame.org/james-braid/
Tom Morris Sr.,https://www.worldgolfhalloffame.org/tom-morris-sr/
Jerry Travers,https://www.worldgolfhalloffame.org/jerry-travers/
Mickey Wright,https://www.worldgolfhalloffame.org/mickey-wright/
Willie Anderson,https://www.worldgolfhalloffame.org/willie-anderson/
Fred Corcoran,https://www.worldgolfhalloffame.org/fred-corcoran/
Joseph Dey,https://www.worldgolfhalloffame.org/joseph-dey/
Chick Evans,https://www.worldgolfhalloffame.org/chick-evans/
Tom Morris Jr.,https://www.worldgolfhalloffame.org/tom-morris-jr/
J.H. Taylor,https://www.worldgolfhalloffame.org/j-h-taylor/
Glenna Collett Vare,https://www.worldgolfhalloffame.org/glenna-collett-vare/
Joyce Wethered,https://www.worldgolfhalloffame.org/joyce-wethered/
Patty Berg,https://www.worldgolfhalloffame.org/patty-berg/
Walter Hagen,https://www.worldgolfhalloffame.org/walter-hagen/
Ben Hogan,https://www.worldgolfhalloffame.org/ben-hogan/
Bobby Jones,https://www.worldgolfhalloffame.org/bobby-jones/
Byron Nelson,https://www.worldgolfhalloffame.org/byron-nelson/
Jack Nicklaus,https://www.worldgolfhalloffame.org/jack-nicklaus/
Francis Ouimet,https://www.worldgolfhalloffame.org/francis-ouimet/
Arnold Palmer,https://www.worldgolfhalloffame.org/arnold-palmer/
Gary Player,https://www.worldgolfhalloffame.org/gary-player/
Gene Sarazen,https://www.worldgolfhalloffame.org/gene-sarazen/
Sam Snead,https://www.worldgolfhalloffame.org/sam-snead/
Harry Vardon,https://www.worldgolfhalloffame.org/harry-vardon/
Babe Zaharias,https://www.worldgolfhalloffame.org/babe-zaharias/
